#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Nov 02 17:14:28 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MainPage1_map.ncd
#OUTPUT FILE:      MainPage1_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
P3,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
P4,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
P5,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
P6,DT0PRI,IBUF,IP,INPUT,LVCMOS33,3,,,,IFD,,LOCATED,YES,NONE,
P7,,,VCCAUX,,,,,,,,2.5,,,,
P8,CLK_SPI_w5100,IOB,IO_L03P_3,OUTPUT,LVCMOS33,3,2,SLOW,NONE**,,,LOCATED,NO,NONE,
P9,CS_SPI1_w5100,IOB,IO_L03N_3,OUTPUT,LVCMOS33,3,2,SLOW,NONE**,,,LOCATED,NO,NONE,
P10,,,GND,,,,,,,,,,,,
P11,MOSI_w5100,IOB,IO_L04P_3,OUTPUT,LVCMOS33,3,2,SLOW,NONE**,,,LOCATED,NO,NONE,
P12,,DIFFS,IO_L04N_3,UNUSED,,3,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,INT_w5100,IBUF,IP,INPUT,LVCMOS33,3,,,PULLUP,NONE,,LOCATED,NO,NONE,
P15,CS_SPI2_w5100,IOB,IO_L05P_3,OUTPUT,LVCMOS33,3,2,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,,DIFFS,IO_L05N_3,UNUSED,,3,,,,,,,,,
P17,,,GND,,,,,,,,,,,,
P18,,DIFFM,IO_L06P_3,UNUSED,,3,,,,,,,,,
P19,,DIFFS,IO_L06N_3,UNUSED,,3,,,,,,,,,
P20,MISO_w5100,IBUF,IP/VREF_3,INPUT,LVCMOS33,3,,,PULLUP,NONE,,LOCATED,NO,NONE,
P21,,,VCCO_3,,,3,,,,,3.30,,,,
P22,,DIFFM,IO_L07P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P23,,DIFFS,IO_L07N_3/LHCLK1,UNUSED,,3,,,,,,,,,
